year,month,value
1994,5,0.29
1994,6,0.59
1994,7,0.42
1994,8,0.27
1994,9,0.43
1994,10,0.42
1994,11,0.52
1994,12,0.44
1995,1,0.57
1995,2,0.9
1995,3,0.53
1995,4,0.59
1995,5,0.39
1995,6,0.5
1995,7,0.64
1995,8,0.58
1995,9,0.47
1995,10,0.68
1995,11,0.53
1995,12,0.4
1996,1,0.41
1996,2,0.61
1996,3,0.45
1996,4,0.51
1996,5,0.35
1996,6,0.33
1996,7,0.59
1996,8,0.76
1996,9,0.44
1996,10,0.34
1996,11,0.51
1996,12,0.54
1997,1,0.48
1997,2,0.55
1997,3,0.66
1997,4,0.4
1997,5,0.43
1997,6,0.67
1997,7,0.33
1997,8,0.45
1997,9,0.49
1997,10,0.6
1997,11,0.71
1997,12,0.69
1998,1,0.72
1998,2,1.2
1998,3,0.83
1998,4,0.83
1998,5,0.93
1998,6,1.03
1998,7,0.92
1998,8,0.85
1998,9,0.59
1998,10,0.68
1998,11,0.65
1998,12,0.78
1999,1,0.67
1999,2,0.86
1999,3,0.49
1999,4,0.41
1999,5,0.49
1999,6,0.62
1999,7,0.62
1999,8,0.54
1999,9,0.64
1999,10,0.62
1999,11,0.57
1999,12,0.51
2000,1,0.3
2000,2,0.78
2000,3,0.7
2000,4,0.75
2000,5,0.56
2000,6,0.69
2000,7,0.63
2000,8,0.61
2000,9,0.56
2000,10,0.36
2000,11,0.48
2000,12,0.48
2001,1,0.58
2001,2,0.62
